"Points:0","Points:1","Points:2"
0,0,0
7.9938,124.45,162.97
8.9564,121.98,161.76
13.034,120.82,162.45
11.591,123.91,164.06
8.1337,122.45,166.92
9.2028,119.62,165.62
14.058,118.79,166.24
12.404,122.37,167.84
7.0691,126.76,164.06
9.8013,126.76,165.47
7.1534,124.98,168.17
10.647,125.71,169.36
6.0319,128.85,165.13
7.4292,129.25,166.6
6.1739,127.2,169.29
8.247,128.58,170.66
3.6636,127.94,164.05
3.2769,130.16,165.53
0,131.09,165.96
0,129,164.1
3.6193,125.72,168.07
3.3511,128.24,169.62
0,128.93,169.94
0,126.42,168.11
4.0902,125.6,162.9
0,126.6,162.89
4.0515,123.27,166.66
0,124.02,166.54
4.0737,131.24,167.66
4.6088,130.64,171.58
4.5805,123.32,161.8
0,124.34,161.9
4.5917,120.82,165.39
0,121.69,165.29
0,132.38,168.64
0,131.34,172.13
7.6665,120.43,170.67
8.7161,117.58,169.62
13.113,116.75,170.21
11.591,120.35,171.44
6.713,122.92,171.92
9.8449,123.65,172.91
5.8232,125.13,173.01
7.6911,126.56,174.13
3.4262,123.48,171.76
3.1761,126.06,173.25
0,126.56,173.37
0,123.92,171.63
3.8452,121.06,170.29
0,121.54,169.99
4.4163,128.71,175.02
4.3844,118.61,169.18
0,119.23,168.89
0,129.62,175.4
7.0979,118.28,174.22
8.0819,115.31,173.53
11.97,114.46,174.12
10.517,118.24,174.87
6.1603,120.71,175.49
8.8533,121.43,176.31
5.3312,122.95,176.42
6.9564,124.37,177.37
3.1724,121.11,175.24
2.922,123.79,176.59
0,124.11,176.52
0,121.27,174.93
3.5988,118.75,173.73
0,118.97,173.26
4.0761,126.59,178.22
4.1127,116.26,172.94
0,116.72,172.62
0,127.54,178.44
6.4213,116.76,177.72
7.1334,114.1,177.63
10.507,113.66,178.29
9.4384,116.87,178.37
5.5853,118.61,179.22
7.931,119.31,179.97
4.824,120.86,179.87
6.2625,122.26,180.72
2.8837,118.9,178.93
2.6374,121.64,179.96
0,121.86,179.79
0,118.91,178.55
3.2692,117.05,177.17
0,117.12,176.62
3.6732,124.47,181.43
3.6411,114.74,176.96
0,115.01,176.54
0,125.37,181.5
12.914,110.18,175.38
11.514,110.32,179.25
8.5702,111.7,174.59
7.6567,110.96,178.49
14.454,109.85,171.96
13.597,112.88,171.53
14.658,113.8,168.2
15.979,109.64,168.39
9.5935,111.4,171.28
9.1051,114.18,170.91
9.7617,115.32,167.7
10.46,111.99,167.82
15.504,114.94,164.31
10.295,116.76,164.03
17.272,109.68,164.45
11.087,112.86,164.16
16.494,113.68,161.38
18.104,110.03,160.3
10.727,115.84,161.45
11.347,113.16,160.72
15.107,114.98,159.24
16.149,112.11,157.46
10.169,117.42,159.09
10.939,115.46,157.84
14.289,117.55,160.69
9.9596,119.37,160.46
4.3395,113.03,174.03
3.8694,111.88,177.83
4.8685,113.06,170.83
4.6444,115.51,170.39
4.9541,116.83,167.32
5.2795,114,167.5
5.2096,118.53,163.93
5.5422,115.24,164.1
5.3611,117.87,161.61
5.5827,115.67,161.01
5.1937,119.47,159.46
5.5563,117.97,158.47
5.1521,121.13,160.6
0,113.62,174.06
0,112.34,177.72
0,113.83,170.96
0,116.17,170.26
0,117.62,167.21
0,114.93,167.66
0,119.55,163.99
0,116.37,164.31
0,118.96,161.79
0,116.95,161.25
0,120.59,159.76
0,119.27,158.75
0,122.22,160.8
9.4722,112.95,182.1
8.6399,115.57,181.49
6.4346,113.08,181.29
5.9081,115.41,180.78
7.2333,116.88,183.84
5.1234,116.3,183.03
8.2282,113.14,185.5
5.7145,113.05,184.51
10.456,110.12,183.11
9.5383,109.76,186.94
6.9687,110.3,182.2
6.3675,109.93,185.77
7.3462,112.55,189.39
6.2083,115.75,187.87
5.2363,112.31,188
4.5447,115.13,186.74
8.5527,109.45,190.83
5.9507,109.36,189.25
3.2856,113.53,180.56
3.0128,115.62,180.2
2.6533,116.49,182.7
2.9652,113.33,183.95
3.5136,110.96,181.48
3.254,110.43,185.13
2.8555,112.43,187.79
2.4222,115.23,186.71
3.2558,109.63,189.03
0,113.69,180.1
0,115.61,179.67
0,116.44,182.28
0,113.43,183.47
0,111.33,181.25
0,110.76,184.76
0,112.51,187.24
0,115.17,186.35
0,109.93,188.44
2.7849,120.1,187.82
2.1337,117.8,186.54
0,117.93,186.33
0,120.91,187.89
3.2988,122.19,184.64
2.4011,119.4,183.29
0,119.57,183.07
0,123.13,184.69
3.9016,117.31,186.41
4.4036,118.69,183.25
4.898,118.44,187.36
5.6659,120.03,184.08
5.788,108.98,192.21
7.7014,109.08,194.6
4.9703,111.91,190.8
6.5113,112.12,192.92
3.9466,109.04,193.15
3.2678,111.94,191.55
6.9989,108.84,197.84
5.244,112.52,195.41
4.1507,114.51,189.53
5.2368,115.04,191.21
2.4728,114.61,190.26
3.4052,115.5,193.51
2.0189,116.74,189.13
2.4638,118.08,190.78
0,116.9,189.02
0,118.83,191.03
0,114.73,190.06
0,116.85,194.04
0,111.99,190.82
0,109.28,192.23
0,112.35,194.52
0,108.93,196.61
3.2571,108.1,209.37
4.4879,108.16,205.89
0.073612,107.91,204.99
0,108.11,209.4
3.1708,109.49,205.43
0,110.18,205.21
4.8784,111.02,198.99
3.2255,113.13,197.83
0,111.16,198.01
0,114.56,197.61
3.7265,110.89,201.8
5.7698,108.38,202.2
0,112.22,201.46
0,108.49,200.98
3.5478,116.44,188.69
4.2088,117.27,189.91
48.925,76.476,108.49
48.224,74.982,105.23
49.754,71.341,106.09
50.464,72.82,109.2
45.805,74.467,110.59
45.152,73.155,107.57
46.62,69.69,108.38
47.274,70.996,111.28
43.019,72.737,112.56
42.507,71.602,109.68
43.885,68.286,110.46
44.402,69.435,113.24
40.371,71.381,114.24
40.063,70.429,111.42
41.349,67.249,112.19
41.66,68.233,114.92
40.906,-63.519,262.05
41.976,-65.158,259.18
38.949,-67.17,259.22
37.979,-65.396,262.12
39.047,-61.175,259.69
40.077,-62.721,257
37.208,-64.625,257.06
36.284,-62.961,259.8
37.341,-59.062,257.49
38.336,-60.512,254.96
35.602,-62.314,255.02
34.713,-60.751,257.61
35.794,-57.16,255.43
36.756,-58.508,253.04
34.129,-60.208,253.12
33.27,-58.747,255.57
5.1013,90.068,258.86
0,90.319,258.57
0,92.428,254.67
5.1768,92.183,254.98
4.8728,86.798,256.79
0,87.172,256.59
0,89.229,252.85
4.9512,88.869,253.08
4.6743,83.916,254.92
0,84.283,254.73
0,86.276,251.13
4.7558,85.922,251.35
4.5081,81.382,253.25
0,81.63,253
0,83.555,249.54
4.5927,83.305,249.8
42.159,1.6756,283.3
38.892,1.8535,285.17
38.943,5.5448,285.27
42.189,5.3576,283.38
40.164,1.8507,280.08
37.07,2.0466,281.87
37.109,5.6654,282
40.179,5.4591,280.19
38.361,1.9885,277.16
35.417,2.2059,278.87
35.438,5.7503,279.01
38.357,5.5213,277.29
36.731,2.0917,274.5
33.919,2.3343,276.13
33.924,5.8051,276.3
36.711,5.5493,274.65
33.123,98.973,227.62
27.67,100.76,227.64
27.673,101.69,223.3
33.201,100,223.3
31.258,94.791,226.52
26.237,96.526,226.58
26.244,97.335,222.52
31.329,95.649,222.48
29.633,91.214,225.65
25.004,92.934,225.73
25.003,93.639,221.88
29.69,91.936,221.81
27.417,86.563,224.8
23.282,88.547,224.94
23.194,89.017,221.24
27.387,87.016,221.09
4.6943,-94.434,195.5
4.7008,-94.056,191.53
0,-94.144,191.63
0,-94.531,195.57
4.5123,-90.841,195.85
4.516,-90.458,192.05
0,-90.689,192.12
0,-91.06,195.9
4.3392,-87.402,196.19
4.3403,-87.026,192.55
0,-87.264,192.61
0,-87.626,196.24
4.1704,-84.102,196.52
4.1695,-83.741,193.03
0,-83.859,193.1
0,-84.211,196.58
21.523,-0.92572,291.76
17.972,-0.78207,292.63
18.051,3.118,292.87
21.616,2.9282,292
20.569,-0.62184,288.16
17.179,-0.47484,289
17.253,3.3515,289.26
20.654,3.1582,288.42
19.677,-0.33368,284.87
16.433,-0.18201,285.68
16.5,3.5756,285.95
19.752,3.3769,285.13
18.852,-0.063546,281.86
15.741,0.093103,282.63
15.798,3.791,282.9
18.916,3.5852,282.12
66.096,60.656,202.52
65.68,59.822,206.15
64.064,64.933,206.74
64.456,65.751,203.06
62.648,59.483,202.26
62.361,58.681,205.84
60.723,63.617,206.38
61.022,64.397,202.76
59.446,58.432,201.97
59.207,57.637,205.5
57.601,62.441,206
57.866,63.203,202.43
56.454,57.516,201.62
56.209,56.71,205.1
54.671,61.433,205.58
54.951,62.193,202.05
68.321,46.398,219.45
68.372,47.2,215.85
69.961,42.133,215.38
69.906,41.35,218.97
64.884,45.377,219.06
64.99,46.211,215.53
66.512,41.222,215.11
66.419,40.413,218.63
61.665,44.413,218.63
61.789,45.27,215.15
63.268,40.345,214.78
63.169,39.514,218.24
58.644,43.495,218.15
58.752,44.37,214.73
60.213,39.489,214.41
60.132,38.64,217.81
36.808,100.84,140.19
36.375,101.2,136.26
39.683,98.257,136.38
40.216,97.963,140.27
34.679,97.751,141.14
34.185,98.122,137.18
37.286,95.323,137.37
37.867,94.997,141.3
32.753,94.899,142.17
32.193,95.287,138.15
35.114,92.647,138.4
35.763,92.294,142.4
30.982,92.324,143.08
30.35,92.742,139
33.111,90.255,139.31
33.841,89.866,143.38
75.965,3.794,202.2
75.729,8.7627,202.48
75.111,9.5034,198.94
75.337,4.5462,198.65
72.358,3.7228,202.59
72.12,8.6044,202.84
71.577,9.3627,199.37
71.794,4.4814,199.12
68.972,3.5838,202.98
68.732,8.3882,203.19
68.215,9.164,199.79
68.431,4.3509,199.58
65.782,3.3748,203.39
65.539,8.1121,203.55
65.012,8.9079,200.24
65.235,4.1526,200.07
45.336,5.2164,281.31
42.22,9.0412,283.49
45.322,8.9046,281.38
43.154,5.2933,278.23
40.166,9.0694,280.29
43.101,8.9066,278.31
41.182,5.3285,275.42
38.313,9.0554,277.39
41.1,8.865,275.51
39.403,5.3267,272.86
36.645,9.0069,274.76
39.301,8.7864,272.96
76.262,-23.873,226.69
76.717,-19.233,226.94
76.99,-18.935,223.17
76.544,-23.606,222.9
72.534,-23.312,226.26
72.99,-18.809,226.52
73.279,-18.528,222.91
72.831,-23.069,222.64
69.136,-22.863,225.86
69.588,-18.486,226.12
69.871,-18.222,222.66
69.427,-22.641,222.39
66.034,-22.522,225.5
66.479,-18.263,225.77
66.744,-18.014,222.45
66.301,-22.318,222.18
53.528,-66.64,242.96
54.504,-67.554,239.34
51.283,-70.455,239.2
50.324,-69.423,242.79
51.016,-64.098,241.57
51.942,-64.987,238.11
48.921,-67.757,237.96
48.028,-66.772,241.41
48.758,-61.826,240.24
49.631,-62.689,236.93
46.774,-65.326,236.77
45.934,-64.374,240.09
46.731,-59.779,238.98
47.553,-60.62,235.81
44.829,-63.124,235.63
44.034,-62.189,238.82
70.934,0.12701,177.05
71.003,4.8277,177.41
70.165,5.7577,173.98
70.059,1.1104,173.62
67.531,0.23182,177.96
67.597,4.8726,178.28
66.772,5.8195,174.93
66.675,1.2259,174.61
64.266,0.27702,178.86
64.324,4.864,179.14
63.516,5.8301,175.88
63.431,1.2848,175.6
61.123,0.25585,179.74
61.166,4.7925,179.98
60.379,5.7812,176.82
60.314,1.2801,176.57
29.569,102.88,179.4
28.845,102.16,183.26
23.968,103.55,183.19
24.851,104.28,179.37
28.081,99.342,178.89
27.492,98.743,182.7
22.872,100.31,182.6
23.615,100.92,178.81
26.69,96.181,178.42
26.201,95.667,182.21
21.734,97.361,182.06
22.384,97.864,178.29
25.299,93.083,177.93
24.963,92.803,181.72
20.617,94.692,181.54
21.154,94.92,177.76
8.5122,-75.981,152.84
8.3619,-73.097,150.28
4.2489,-73.814,150.59
4.2937,-76.748,153.15
8.1933,-73.349,154.99
8.0827,-70.663,151.95
4.0872,-71.282,152.36
4.1208,-74.105,155.37
7.8975,-71.036,157.42
7.8032,-68.291,154.03
3.9321,-68.804,154.45
3.9566,-71.715,157.81
7.5919,-68.518,160.19
7.4115,-64.667,156.57
3.7211,-65.267,156.94
3.7984,-69.154,160.48
22.191,113.47,127.28
21.629,113.17,123.24
25.239,110.61,123.6
25.699,110.63,127.62
20.285,108.99,128.25
19.939,108.98,124.3
23.411,106.77,124.59
23.735,106.64,128.54
18.742,104.94,129.24
18.515,105.16,125.37
21.829,103.24,125.61
22.079,103,129.47
17.403,101.35,130.03
17.236,101.77,126.26
20.384,100.14,126.45
20.594,99.772,130.24
32.755,-68.345,153.07
32.182,-65.975,150.59
28.457,-67.813,150.49
28.974,-70.255,152.92
31.349,-65.924,155.03
30.843,-63.663,152.07
27.293,-65.446,151.93
27.734,-67.737,154.9
30.09,-63.843,157.34
29.547,-61.51,154.02
26.163,-63.207,153.88
26.635,-65.574,157.21
28.747,-61.668,160.02
27.691,-58.416,156.45
24.562,-60.009,156.29
25.466,-63.302,159.89
56.823,65.285,241.31
54.463,69.783,242.44
55.057,71.234,238.85
57.404,66.638,237.75
53.6,63.649,240.17
51.248,67.895,241.17
51.809,69.325,237.67
54.147,64.985,236.7
50.71,62.227,239.08
48.454,66.299,239.99
48.986,67.714,236.59
51.227,63.552,235.7
48.102,61.037,238.04
46.003,64.996,238.91
46.511,66.402,235.59
48.592,62.354,234.75
7.4165,15.89,295.38
7.3574,11.705,295.11
3.7054,11.86,295.44
3.7391,16.133,295.71
7.0611,15.892,291.61
7.0211,11.803,291.43
3.535,11.969,291.77
3.5592,16.145,291.96
